Model,Vina_Result,Inter+Intra,Inter,Intra,Unbound,Interaction_1,Interaction_2,Interaction_3
1,-9.708,-11.175,-10.844,-0.331,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
2,-9.628,-11.085,-10.745,-0.34,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
3,-9.442,-10.877,-10.614,-0.263,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
4,-9.434,-10.868,-10.531,-0.337,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
5,-9.428,-10.862,-10.587,-0.275,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
6,-9.387,-10.816,-10.557,-0.259,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
7,-9.219,-10.628,-10.545,-0.083,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
8,-9.205,-10.613,-10.376,-0.237,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
9,-9.104,-10.5,-10.137,-0.363,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
10,-9.084,-10.477,-10.152,-0.326,-0.331,C_10 and O_11,C_17 and O_18,C_21 and C_22
